IID	POP	SUPOP	Countryoforigin
GA000001	CRE	WER	Greece
GA000002	ZAP	AMR	Mexico
GA000003	MEJ	WER	Yemen
GA000004	MEJ	WER	Iraq
GA000005	FRE	WER	France
GA000006	DAI	SEA	China
GA000007	CRE	WER	Greece
GA000008	SAA	WER	Finland
GA000009	YAD	SAS	India
GA000010	TAJ	WER	Tajikistan
GA000011	BRM	SEA	Myanmar
GA000012	RLL	SAS	India
GA000013	KPU	SAS	India
GA000014	BRM	SEA	Myanmar
GA000015	RLL	SAS	India
GA000016	KPU	SAS	India
GA000017	MXT	AMR	Mexico
GA000018	DIN	AFR	Sudan
GA000019	PAP	OCE	Papua New Guinea
GA000020	DIN	AFR	Sudan
GA000021	MXE	AMR	Mexico
GA000022	WON	OCE	Australia
GA000023	WON	OCE	Australia
GA000024	KAR	AMR	Brazil
GA000025	YRI	AFR	Nigeria
GA000026	SAR	WER	Italy
GA000027	JUH	AFR	Namibia
GA000028	PAP	OCE	Papua New Guinea
GA000029	MBU	AFR	Congo
GA000030	MAN	AFR	Senegal
GA000031	HAN	NEA	China
GA000032	LUO	AFR	Kenya
GA000033	QUE	AMR	Peru
GA000034	QUE	AMR	Peru
GA000035	KHO	AFR	South Africa
GA000036	TRK	WER	Turkey
GA000037	KYR	NEA	Kyrgyzystan
GA000038	ALB	WER	Albania
GA000039	TRK	WER	Turkey
GA000040	KYR	NEA	Kyrgyzystan
GA000041	SAH	AFR	Morocco
GA000042	SAH	AFR	Morocco
GA000043	HAW	OCE	USA
GA000044	MEJ	WER	Yemen
GA000045	JOR	WER	Jordan
GA000046	EVN	NEA	Russia
GA000047	MEJ	WER	Iraq
GA000048	POL	WER	Poland
GA000049	SAM	WER	Israel
GA000050	DAI	SEA	China
GA000051	KHO	AFR	South Africa
GA000052	MBU	AFR	Congo
GA000053	JPN	NEA	Japan
GA000054	SAA	WER	Finland
GA000055	PJB	SAS	Pakistan
GA000056	PAL	WER	Israel
GA000057	MAO	OCE	New Zealand
GA000058	NOR	WER	Norway
GA000059	PJB	SAS	Pakistan
GA000060	FIN	WER	Finland
GA000061	MDG	SAS	India
GA000062	BMN	SAS	India
GA000063	MDG	SAS	India
GA000064	BMN	SAS	India
GA000065	QUE	AMR	Peru
GA000066	DUS	SEA	Brunei
GA000067	MLA	SAS	India
GA000068	ARM	WER	Armenia
GA000069	DUS	SEA	Brunei
GA000070	KHD	SAS	India
GA000071	MLA	SAS	India
GA000072	IGO	SEA	Philippines
GA000073	IRU	SAS	India
GA000074	YAD	SAS	India
